country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,Massachusetts,Suffolk County,2020-05-12,-58.0,-24.0,-24.0,-78.0,-63.0,27.0
United States,Massachusetts,Suffolk County,2020-05-13,-58.0,-23.0,-15.0,-77.0,-63.0,26.0
United States,Massachusetts,Suffolk County,2020-05-14,-57.0,-19.0,10.0,-76.0,-63.0,26.0
United States,Massachusetts,Suffolk County,2020-05-15,-59.0,-25.0,-16.0,-76.0,-61.0,28.0
United States,Massachusetts,Suffolk County,2020-05-16,-58.0,-21.0,18.0,-70.0,-43.0,14.0
United States,Massachusetts,Suffolk County,2020-05-17,-58.0,-28.0,0.0,-74.0,-39.0,13.0
United States,Massachusetts,Suffolk County,2020-05-18,-56.0,-26.0,-22.0,-77.0,-61.0,25.0
United States,Massachusetts,Suffolk County,2020-05-19,-55.0,-24.0,-13.0,-76.0,-61.0,25.0
United States,Massachusetts,Suffolk County,2020-05-20,-55.0,-22.0,0.0,-75.0,-61.0,25.0
United States,Massachusetts,Suffolk County,2020-05-21,-54.0,-18.0,24.0,-74.0,-61.0,24.0
United States,Massachusetts,Suffolk County,2020-05-22,-55.0,-18.0,25.0,-72.0,-58.0,24.0
United States,Massachusetts,Suffolk County,2020-05-23,-60.0,-22.0,-18.0,-71.0,-39.0,14.0
United States,Massachusetts,Suffolk County,2020-05-24,-54.0,-24.0,15.0,-72.0,-37.0,11.0
United States,Massachusetts,Suffolk County,2020-05-25,-57.0,-30.0,0.0,-81.0,-75.0,27.0
United States,Massachusetts,Suffolk County,2020-05-26,-51.0,-22.0,23.0,-73.0,-58.0,22.0
United States,Massachusetts,Suffolk County,2020-05-27,-50.0,-19.0,34.0,-73.0,-58.0,22.0
